Partition_Key, Apparent_Temperature, Cloud_Cover, Dew_Point, Humidity, Icon, Local_Time, Ozone, Precip_Accumulation, Precip_Intensity, Precip_Probability, Precip_Type, Pressure, Summary, Temperature, UTC_Time, Visibility, Wind_Bearing, Wind_Speed
CYYZ,18.4,0.7,12.53,0.69,partly-cloudy-day,10/06/2017 18:00,275.22,0,0.0229,0.03,rain,1016.3,Mostly Cloudy,18.4,10/06/2017 22:00,16.09,125,5.52
CYYZ,18.06,0.79,12.64,0.71,partly-cloudy-night,10/06/2017 19:00,275.63,0,0.0229,0.03,rain,1016.21,Mostly Cloudy,18.06,10/06/2017 23:00,16.09,119,5.7
CYYZ,17.86,0.98,13.19,0.74,cloudy,10/06/2017 20:00,281.24,0,0.0203,0.03,rain,1016.46,Overcast,17.86,10/07/2017 0:00,16.09,105,5.87
CYYZ,17.68,0.95,13.53,0.77,cloudy,10/06/2017 21:00,281.47,0,0.0127,0.02,rain,1016.52,Overcast,17.68,10/07/2017 1:00,16.09,108,6.81
CYYZ,17.68,0.91,13.58,0.77,partly-cloudy-night,10/06/2017 22:00,281.95,0,0.0051,0.02,rain,1016.43,Mostly Cloudy,17.68,10/07/2017 2:00,16.09,114,7.77
CYYZ,17.54,0.84,14.09,0.8,partly-cloudy-night,10/06/2017 23:00,281.92,0,0.0025,0.01,rain,1016.4,Mostly Cloudy,17.54,10/07/2017 3:00,16.09,109,8.45
CYYZ,17.31,0.75,15.1,0.87,partly-cloudy-night,10/07/2017 0:00,281.12,0,0.0051,0.02,rain,1015.9,Mostly Cloudy,17.25,10/07/2017 4:00,14.27,114,8.77
CYYZ,17.41,0.48,15.6,0.9,partly-cloudy-night,10/07/2017 1:00,279.79,0,0.0102,0.02,rain,1015.34,Partly Cloudy,17.28,10/07/2017 5:00,13.44,116,8.84
CYYZ,17.61,0.97,15.78,0.9,cloudy,10/07/2017 2:00,277.06,0,0.0381,0.05,rain,1014.83,Overcast,17.46,10/07/2017 6:00,13.58,121,9.29
CYYZ,17.73,0.98,16.07,0.91,rain,10/07/2017 3:00,274.75,0,0.3378,0.22,rain,1014.13,Light Rain,17.54,10/07/2017 7:00,12.49,129,9.21
CYYZ,17.92,0.98,16.54,0.93,rain,10/07/2017 4:00,272.3,0,1.1049,0.32,rain,1013.73,Light Rain,17.67,10/07/2017 8:00,4.15,145,8.63
CYYZ,18.43,0.79,17.08,0.94,rain,10/07/2017 5:00,270.4,0,0.6655,0.28,rain,1013.45,Light Rain,18.12,10/07/2017 9:00,4.83,161,10.85
CYYZ,18.73,0.97,17.43,0.94,rain,10/07/2017 6:00,269.57,0,0.4623,0.3,rain,1013.52,Light Rain,18.38,10/07/2017 10:00,7.02,174,11.73
CYYZ,18.97,0.77,17.66,0.94,rain,10/07/2017 7:00,269.36,0,0.1626,0.21,rain,1013.76,Drizzle,18.59,10/07/2017 11:00,9.38,187,11.91
CYYZ,18.22,0.69,16.79,0.93,partly-cloudy-day,10/07/2017 8:00,266.5,0,0.094,0.18,rain,1013.19,Mostly Cloudy,17.94,10/07/2017 12:00,13.26,190,10.83
CYYZ,18.28,0.91,16.88,0.93,rain,10/07/2017 9:00,265.38,0,0.1295,0.14,rain,1013.16,Drizzle,17.99,10/07/2017 13:00,15.32,188,10.09
CYYZ,18.92,1,17.26,0.92,cloudy,10/07/2017 10:00,264.42,0,0.0813,0.1,rain,1012.9,Overcast,18.6,10/07/2017 14:00,16.09,181,9.24
CYYZ,19.33,0.94,17.29,0.9,cloudy,10/07/2017 11:00,263.76,0,0.1143,0.08,rain,1012.93,Overcast,19.03,10/07/2017 15:00,16.09,171,10.94
CYYZ,19.94,0.79,17.83,0.9,partly-cloudy-day,10/07/2017 12:00,263.56,0,0.066,0.05,rain,1012.18,Mostly Cloudy,19.59,10/07/2017 16:00,16.09,168,11.99
CYYZ,20.46,0.24,18.08,0.88,clear-day,10/07/2017 13:00,263.67,0,0.0178,0.02,rain,1010.83,Clear,20.09,10/07/2017 17:00,16.09,172,12.46
CYYZ,22.07,0.23,18.43,0.82,clear-day,10/07/2017 14:00,261.39,0,0.0076,0.01,rain,1009.93,Clear,21.71,10/07/2017 18:00,16.09,178,13
CYYZ,23.77,0.21,17.62,0.69,clear-day,10/07/2017 15:00,261.64,0,0.0025,0.01,rain,1008.19,Clear,23.54,10/07/2017 19:00,16.09,184,17.25
CYYZ,24.57,0.37,16.87,0.63,partly-cloudy-day,10/07/2017 16:00,262.03,0,0,0,rain,1007.89,Partly Cloudy,24.43,10/07/2017 20:00,16.09,197,17.78
CYYZ,24.05,0.35,16.51,0.63,partly-cloudy-day,10/07/2017 17:00,262.41,0,0.0025,0.01,rain,1007.42,Partly Cloudy,23.95,10/07/2017 21:00,16.09,198,18.93
CYYZ,23.76,0.19,16.09,0.62,clear-day,10/07/2017 18:00,262.76,0,0,0,rain,1007.01,Clear,23.71,10/07/2017 22:00,16.09,200,18.35
CYYZ,22.93,0.06,16.19,0.66,clear-night,10/07/2017 19:00,263.18,0,0,0,rain,1006.93,Clear,22.86,10/07/2017 23:00,16.09,195,15.76
CYYZ,22.07,0.04,16.09,0.69,clear-night,10/07/2017 20:00,265.86,0,0,0,rain,1006.81,Clear,22.01,10/08/2017 0:00,16.09,189,14.79
CYYZ,21.64,0.04,16.32,0.72,clear-night,10/07/2017 21:00,267.26,0,0,0,rain,1006.41,Clear,21.54,10/08/2017 1:00,16.09,186,15.61
CYYZ,21.46,0.06,16.34,0.73,clear-night,10/07/2017 22:00,268.82,0,0,0,rain,1005.67,Clear,21.36,10/08/2017 2:00,16.09,186,16.51
CYYZ,21.54,0.21,16.3,0.73,clear-night,10/07/2017 23:00,269.74,0,0.0025,0.01,rain,1004.87,Clear,21.44,10/08/2017 3:00,16.09,186,16.93
CYYZ,21.68,0.36,16.26,0.72,rain,10/08/2017 0:00,268.28,0,0.127,0.11,rain,1003.78,Drizzle,21.59,10/08/2017 4:00,16.09,187,18.22
CYYZ,21.67,0.73,16.46,0.73,rain,10/08/2017 1:00,266.05,0,0.6426,0.28,rain,1003.23,Light Rain,21.56,10/08/2017 5:00,15.63,189,19.57
CYYZ,20.16,0.42,17.3,0.85,rain,10/08/2017 2:00,263.84,0,1.0312,0.5,rain,1002.64,Light Rain,19.89,10/08/2017 6:00,14.98,196,22.35
CYYZ,20.28,0.32,17.5,0.86,rain,10/08/2017 3:00,268.63,0,0.8814,0.51,rain,1001.02,Light Rain,19.99,10/08/2017 7:00,16.09,202,23.09
